;Barcode;Title;Year;Location
369.6;HV096461;"""Aardige mensen, goede klanten!""";2009;Bibliotheek AMFI
369.6;HV005950;Store Monitor 2004+;2004;Bibliotheek AMFI
369.6;HV013867;How to fold;2002;Bibliotheek AMFI
369.6;FM002136;Omzet te koop;2000;Bibliotheek AMFI
369.6;HV100600;Engaging spaces;2010;Bibliotheek AMFI
369.6;FM003254;Ladenplanung;2002;Bibliotheek AMFI
 369.6 Ü;HV041398;Deco Artists;2006;Bibliotheek AMFI
369.6;TM016674;Retail design;1998;Bibliotheek AMFI
369.6;TM016998;Signs that sell;1991;Bibliotheek AMFI
369.6;HV040172;Visie binnen retail design;2004;Bibliotheek AMFI
369.6;HV022298;Mehr Umsatz mit optimaler Warenplatzierung;2003;Bibliotheek AMFI
369.6;FM002046;Retail store planning & design manual;2000;Bibliotheek AMFI
369.6;HV096717;Luxury stores;2009;Bibliotheek AMFI
369.6;HV078175;Design for shopping;2006;Bibliotheek AMFI
369.6;HV114500;Girlfriends;2012;Bibliotheek AMFI
369.6;HV105457;Retail design;2010;Bibliotheek AMFI
369.6;TM042880;Applied visual merchandising;1988;Bibliotheek AMFI
369.6;TM010721;Applied visual merchandising;1995;Bibliotheek AMFI
369.6;HV112688;Louis Vuitton;2011;Bibliotheek AMFI
